vcc	V(vce)	I(R1)
Step Information: Vbb=800m  (Run: 1/4)
1.109999999999998e+001	3.951092e-001	1.070489e-002
1.119999999999998e+001	4.780833e-001	1.072192e-002
1.129999999999998e+001	5.611137e-001	1.073889e-002
1.139999999999998e+001	6.441585e-001	1.075584e-002
1.149999999999998e+001	7.272044e-001	1.077280e-002
1.159999999999998e+001	8.102504e-001	1.078975e-002
1.169999999999997e+001	8.932967e-001	1.080670e-002
1.179999999999997e+001	9.763430e-001	1.082366e-002
1.189999999999997e+001	1.059390e+000	1.084061e-002
1.200000000000000e+001	1.142436e+000	1.085756e-002
